feature,f1_after_shuffle,importance
Tenure,0.36538461538461536,0.37484526967285586
Complain,0.6023529411764705,0.1378769438810007
NumberOfAddress,0.683371298405467,0.05685858665200427
MaritalStatus_Single,0.6948356807511737,0.04539420430629748
DaySinceLastOrder,0.7047619047619048,0.035467980295566415
WarehouseToHome,0.7058823529411765,0.03434753211629471
CityTier,0.708803611738149,0.03142627331932224
SatisfactionScore,0.7099767981438515,0.03025308691361972
PreferedOrderCat_Mobile Phone,0.7180722891566265,0.022157595900844762
UnhappyComplain,0.724373576309795,0.015856308747676184
PreferredLoginDevice_Computer,0.724373576309795,0.015856308747676184
CouponUsed,0.7285067873303167,0.011723097727154519
PreferedOrderCat_Laptop & Accessory,0.7331786542923434,0.007051230765127814
IsDormant,0.7390300230946882,0.0011998619627829887
PreferredPaymentMode_Cash on Delivery,0.7402298850574712,0.0
PreferredPaymentMode_Debit Card,0.7419354838709677,-0.0017055988134965228
HourSpendOnApp,0.7448275862068966,-0.0045977011494253706
